client_id,round_number,hierarchy,num_samples,accuracy
007peter,0,,2,0.0
0summerbreeze0,0,,2,0.5
101ofawolf,0,,2,1.0
10Yetis,0,,2,0.0
112mirabela,0,,2,1.0
11chiqa11,0,,2,1.0
12gaBrowningGal,0,,3,1.0
130587,0,,2,0.5
14_10_2004,0,,2,0.0
15Stepz,0,,3,1.0
16_MileyCyrus,0,,10,0.6
180bysummer,0,,2,0.0
18percentgrey,0,,6,0.6666666666666666
1938superman,0,,2,1.0
19c816tf9227,0,,7,0.2857142857142857
19fischi75,0,,11,0.7272727272727273
1ChazD,0,,3,0.6666666666666666
1Ele,0,,2,0.0
1azylizzie,0,,3,0.6666666666666666
1critic,0,,2,0.5
1flyharmony,0,,3,0.3333333333333333
1indienation,0,,2,0.5
1stSashaFierce,0,,2,0.0
1stladyRetroKid,0,,2,0.0
1sweetwhirl,0,,2,0.5
2020science,0,,2,0.5
21seant,0,,2,0.5
22q,0,,2,0.0
241sxb,0,,2,0.5
24cotton,0,,3,0.6666666666666666
24k,0,,2,1.0
28doomdoom28,0,,2,1.0
2NiteBoy,0,,4,0.75
2cute_2001,0,,2,0.0
2emc,0,,5,0.2
2kutekreations,0,,2,0.5
2weetme,0,,2,1.0
2xtdg,0,,2,0.5
30STMWithJared,0,,3,1.0
30STM_Denalie,0,,2,0.5
30STMluva,0,,5,0.6
311fanalways,0,,2,0.5
31B4,0,,2,0.0
321Christina123,0,,2,0.5
3CB,0,,8,0.75
3L1Z4B3TH,0,,2,0.5
3alyo0o,0,,2,0.0
3bubblesoff,0,,2,1.0
3djay,0,,2,1.0
3nalicious,0,,2,0.5
3nang,0,,2,0.0
3nicola,0,,2,0.5
3sixty5days,0,,2,0.5
3thbi,0,,2,0.5
40shadesofgrey,0,,2,0.5
420thoughts,0,,3,0.6666666666666666
42666,0,,2,1.0
4Hours,0,,4,1.0
4_s_m_4,0,,3,1.0
4chanbot,0,,2,0.5
4evajongirl,0,,2,0.5
4evaurgirl,0,,5,0.6
4everAdrian,0,,2,0.5
4everequine,0,,3,1.0
4faintsunrise,0,,2,0.5
4fthawaiian,0,,2,1.0
4u2wear2,0,,2,0.5
4wide,0,,2,0.0
5erg,0,,2,1.0
5tephaN,0,,2,0.0
