client_id,round_number,hierarchy,num_samples,accuracy
9,0,,82,0.012195121951219513
32,0,,175,0.011428571428571429
26,0,,77,0.025974025974025976
23,0,,84,0.0
28,0,,85,0.0
21,0,,134,0.0
1,0,,134,0.0
33,0,,177,0.011299435028248588
31,0,,75,0.0
12,0,,84,0.0
13,0,,77,0.025974025974025976
15,0,,75,0.013333333333333334
5,0,,86,0.0
6,0,,134,0.0
20,0,,165,0.0
30,0,,161,0.0
29,0,,87,0.0
16,0,,173,0.011560693641618497
10,0,,85,0.023529411764705882
19,0,,74,0.0
25,0,,174,0.011494252873563218
7,0,,138,0.0
22,0,,83,0.0
34,0,,143,0.0
18,0,,85,0.011764705882352941
14,0,,176,0.011363636363636364
17,0,,161,0.012422360248447204
24,0,,84,0.0
27,0,,84,0.023809523809523808
11,0,,87,0.0
3,0,,75,0.0
4,0,,168,0.005952380952380952
8,0,,163,0.012269938650306749
2,0,,87,0.0
0,0,,86,0.0
9,19,,82,0.024390243902439025
32,19,,175,0.022857142857142857
26,19,,77,0.11688311688311688
23,19,,84,0.047619047619047616
28,19,,85,0.09411764705882353
21,19,,134,0.03731343283582089
1,19,,134,0.029850746268656716
33,19,,177,0.03389830508474576
31,19,,75,0.06666666666666667
12,19,,84,0.08333333333333333
13,19,,77,0.1038961038961039
15,19,,75,0.09333333333333334
5,19,,86,0.11627906976744186
6,19,,134,0.029850746268656716
20,19,,165,0.01818181818181818
30,19,,161,0.055900621118012424
29,19,,87,0.04597701149425287
16,19,,173,0.057803468208092484
10,19,,85,0.023529411764705882
19,19,,74,0.08108108108108109
25,19,,174,0.017241379310344827
7,19,,138,0.021739130434782608
22,19,,83,0.04819277108433735
34,19,,143,0.03496503496503497
18,19,,85,0.047058823529411764
14,19,,176,0.011363636363636364
17,19,,161,0.043478260869565216
24,19,,84,0.03571428571428571
27,19,,84,0.047619047619047616
11,19,,87,0.06896551724137931
3,19,,75,0.09333333333333334
4,19,,168,0.03571428571428571
8,19,,163,0.03680981595092025
2,19,,87,0.08045977011494253
0,19,,86,0.06976744186046512
9,39,,82,0.04878048780487805
32,39,,175,0.011428571428571429
26,39,,77,0.05194805194805195
23,39,,84,0.08333333333333333
28,39,,85,0.08235294117647059
21,39,,134,0.05223880597014925
1,39,,134,0.022388059701492536
33,39,,177,0.022598870056497175
31,39,,75,0.09333333333333334
12,39,,84,0.05952380952380952
13,39,,77,0.05194805194805195
15,39,,75,0.05333333333333334
5,39,,86,0.08139534883720931
6,39,,134,0.05223880597014925
20,39,,165,0.030303030303030304
30,39,,161,0.049689440993788817
29,39,,87,0.06896551724137931
16,39,,173,0.023121387283236993
10,39,,85,0.07058823529411765
19,39,,74,0.05405405405405406
25,39,,174,0.022988505747126436
7,39,,138,0.036231884057971016
22,39,,83,0.060240963855421686
34,39,,143,0.055944055944055944
18,39,,85,0.09411764705882353
14,39,,176,0.028409090909090908
17,39,,161,0.018633540372670808
24,39,,84,0.047619047619047616
27,39,,84,0.047619047619047616
11,39,,87,0.06896551724137931
3,39,,75,0.06666666666666667
4,39,,168,0.011904761904761904
8,39,,163,0.03680981595092025
2,39,,87,0.04597701149425287
0,39,,86,0.05813953488372093
9,59,,82,0.06097560975609756
32,59,,175,0.04
26,59,,77,0.05194805194805195
23,59,,84,0.05952380952380952
28,59,,85,0.047058823529411764
21,59,,134,0.022388059701492536
1,59,,134,0.007462686567164179
33,59,,177,0.03389830508474576
31,59,,75,0.02666666666666667
12,59,,84,0.07142857142857142
13,59,,77,0.03896103896103896
15,59,,75,0.05333333333333334
5,59,,86,0.09302325581395349
6,59,,134,0.029850746268656716
20,59,,165,0.04242424242424243
30,59,,161,0.024844720496894408
29,59,,87,0.14942528735632185
16,59,,173,0.03468208092485549
10,59,,85,0.10588235294117647
19,59,,74,0.05405405405405406
25,59,,174,0.05172413793103448
7,59,,138,0.036231884057971016
22,59,,83,0.08433734939759036
34,59,,143,0.055944055944055944
18,59,,85,0.09411764705882353
14,59,,176,0.028409090909090908
17,59,,161,0.018633540372670808
24,59,,84,0.09523809523809523
27,59,,84,0.08333333333333333
11,59,,87,0.06896551724137931
3,59,,75,0.06666666666666667
4,59,,168,0.02976190476190476
8,59,,163,0.03067484662576687
2,59,,87,0.04597701149425287
0,59,,86,0.06976744186046512
9,79,,82,0.07317073170731707
32,79,,175,0.06285714285714286
26,79,,77,0.06493506493506493
23,79,,84,0.11904761904761904
28,79,,85,0.08235294117647059
21,79,,134,0.08208955223880597
1,79,,134,0.03731343283582089
33,79,,177,0.05649717514124294
31,79,,75,0.12
12,79,,84,0.05952380952380952
13,79,,77,0.1038961038961039
15,79,,75,0.04
5,79,,86,0.13953488372093023
6,79,,134,0.05970149253731343
20,79,,165,0.06060606060606061
30,79,,161,0.08074534161490683
29,79,,87,0.09195402298850575
16,79,,173,0.05202312138728324
10,79,,85,0.10588235294117647
19,79,,74,0.10810810810810811
25,79,,174,0.06321839080459771
7,79,,138,0.057971014492753624
22,79,,83,0.10843373493975904
34,79,,143,0.04895104895104895
18,79,,85,0.07058823529411765
14,79,,176,0.03409090909090909
17,79,,161,0.049689440993788817
24,79,,84,0.10714285714285714
27,79,,84,0.13095238095238096
11,79,,87,0.16091954022988506
3,79,,75,0.12
4,79,,168,0.041666666666666664
8,79,,163,0.06134969325153374
2,79,,87,0.12643678160919541
0,79,,86,0.06976744186046512
9,99,,82,0.2073170731707317
32,99,,175,0.09714285714285714
26,99,,77,0.24675324675324675
23,99,,84,0.25
28,99,,85,0.25882352941176473
21,99,,134,0.11940298507462686
1,99,,134,0.09701492537313433
33,99,,177,0.07344632768361582
31,99,,75,0.24
12,99,,84,0.20238095238095238
13,99,,77,0.24675324675324675
15,99,,75,0.26666666666666666
5,99,,86,0.29069767441860467
6,99,,134,0.11940298507462686
20,99,,165,0.10303030303030303
30,99,,161,0.11180124223602485
29,99,,87,0.25287356321839083
16,99,,173,0.046242774566473986
10,99,,85,0.29411764705882354
19,99,,74,0.22972972972972974
