client_id,round_number,hierarchy,num_samples,bytes_written,bytes_read,local_computations
f2048_19,0,,11,26414840,26414840,1320302100
f1036_49,0,,16,26414840,26414840,1980453150
f0383_43,0,,37,26414840,26414840,4489027140
f2169_69,1,,14,26414840,26414840,1716392730
f1578_22,1,,13,26414840,26414840,1452332310
f2072_32,1,,17,26414840,26414840,1980453150
f0796_08,2,,29,26414840,26414840,3432785460
f3505_39,2,,19,26414840,26414840,2244513570
f1172_25,2,,30,26414840,26414840,3564815670
f3196_35,3,,19,26414840,26414840,2244513570
f1523_03,3,,11,26414840,26414840,1320302100
f3376_29,3,,18,26414840,26414840,2112483360
f4092_24,4,,15,26414840,26414840,1848422940
f1514_35,4,,17,26414840,26414840,1980453150
f3986_31,4,,18,26414840,26414840,2112483360
f0589_20,5,,31,26414840,26414840,3696845880
f0689_06,5,,27,26414840,26414840,3300755250
f1914_02,5,,12,26414840,26414840,1452332310
f2554_55,6,,17,26414840,26414840,1980453150
f0888_25,6,,37,26414840,26414840,4489027140
f0519_46,6,,40,26414840,26414840,4753087560
f0395_15,7,,43,26414840,26414840,5017147980
f1220_42,7,,27,26414840,26414840,3168725040
f2051_15,7,,18,26414840,26414840,2112483360
f0887_39,8,,40,26414840,26414840,4753087560
f3101_07,8,,18,26414840,26414840,2112483360
f2131_73,8,,18,26414840,26414840,2244513570
f3324_05,9,,19,26414840,26414840,2244513570
f2375_61,9,,18,26414840,26414840,2244513570
f0702_46,9,,28,26414840,26414840,3432785460
f3824_05,10,,19,26414840,26414840,2244513570
f1681_44,10,,18,26414840,26414840,2112483360
f3977_39,10,,18,26414840,26414840,2244513570
f1232_34,11,,18,26414840,26414840,2244513570
f1530_18,11,,18,26414840,26414840,2112483360
f0362_44,11,,39,26414840,26414840,4621057350
f0412_26,12,,32,26414840,26414840,3828876090
f3238_40,12,,18,26414840,26414840,2112483360
f3318_25,12,,18,26414840,26414840,2112483360
f3351_27,13,,19,26414840,26414840,2244513570
f3918_03,13,,21,26414840,26414840,2508573990
f1048_31,13,,33,26414840,26414840,3960906300
f1057_34,14,,30,26414840,26414840,3564815670
f0194_30,14,,35,26414840,26414840,4224966720
f0946_31,14,,31,26414840,26414840,3696845880
f2173_74,15,,17,26414840,26414840,2112483360
f0155_13,15,,45,26414840,26414840,5281208400
f1698_35,15,,16,26414840,26414840,1980453150
f1174_47,16,,25,26414840,26414840,2904664620
f3361_17,16,,18,26414840,26414840,2112483360
f0749_12,16,,31,26414840,26414840,3564815670
f2528_69,17,,17,26414840,26414840,2112483360
f2118_60,17,,18,26414840,26414840,2112483360
f1329_29,17,,36,26414840,26414840,4224966720
f3333_15,18,,19,26414840,26414840,2244513570
f2034_14,18,,14,26414840,26414840,1584362520
f1647_28,18,,18,26414840,26414840,2112483360
f1291_26,19,,26,26414840,26414840,3036694830
f3941_08,19,,17,26414840,26414840,1980453150
f0761_10,19,,37,26414840,26414840,4489027140
f0745_35,20,,41,26414840,26414840,4753087560
f1589_38,20,,17,26414840,26414840,1980453150
f0513_18,20,,37,26414840,26414840,4356996930
f1839_31,21,,15,26414840,26414840,1848422940
f1541_40,21,,17,26414840,26414840,2112483360
f3698_01,21,,17,26414840,26414840,1980453150
f1362_31,22,,29,26414840,26414840,3432785460
f2427_89,22,,18,26414840,26414840,2112483360
f1348_27,22,,10,26414840,26414840,1188271890
f1682_10,23,,17,26414840,26414840,1980453150
f0554_17,23,,40,26414840,26414840,4753087560
f2414_89,23,,19,26414840,26414840,2244513570
f0357_21,24,,35,26414840,26414840,4224966720
f1765_33,24,,17,26414840,26414840,2112483360
f1344_45,24,,25,26414840,26414840,2904664620
f0541_47,25,,36,26414840,26414840,4356996930
f1966_31,25,,13,26414840,26414840,1584362520
f3725_39,25,,18,26414840,26414840,2112483360
f3453_15,26,,18,26414840,26414840,2244513570
f2244_94,26,,17,26414840,26414840,2112483360
f0580_29,26,,34,26414840,26414840,3960906300
f1181_27,27,,32,26414840,26414840,3828876090
f3866_43,27,,15,26414840,26414840,1848422940
f0869_20,27,,19,26414840,26414840,2244513570
f1892_07,28,,17,26414840,26414840,1980453150
f0495_04,28,,42,26414840,26414840,5017147980
f2519_67,28,,18,26414840,26414840,2112483360
f2525_62,29,,18,26414840,26414840,2112483360
f0599_04,29,,26,26414840,26414840,3036694830
f1117_18,29,,22,26414840,26414840,2640604200
f1205_25,30,,35,26414840,26414840,4224966720
f0661_44,30,,36,26414840,26414840,4224966720
f1709_03,30,,17,26414840,26414840,2112483360
f3610_45,31,,18,26414840,26414840,2112483360
